"","DATE","TIME","Tb","SUN_EXPOSURE","day","month","year","datetime"
"1","21/05/1997",10,33.9,NA,"21","05","1997",1997-05-21 10:00:00
"2","25/07/1997",10,35.6,NA,"25","07","1997",1997-07-25 10:00:00
"3","14/05/1997",14,32.4,"Clouded","14","05","1997",1997-05-14 14:00:00
"4","14/05/1997",14,35,"Clouded","14","05","1997",1997-05-14 14:00:00
"5","14/05/1997",16,31.9,"Clouded","14","05","1997",1997-05-14 16:00:00
"6","14/05/1997",17,29.3,"Clouded","14","05","1997",1997-05-14 17:00:00
"7","21/05/1997",13,30.2,"Clouded","21","05","1997",1997-05-21 13:00:00
"8","21/05/1997",15,34.7,"Clouded","21","05","1997",1997-05-21 15:00:00
"9","21/05/1997",16,32.9,"Clouded","21","05","1997",1997-05-21 16:00:00
"10","21/05/1997",19,33,"Clouded","21","05","1997",1997-05-21 19:00:00
"11","29/05/1997",15,34.3,"Clouded","29","05","1997",1997-05-29 15:00:00
"12","29/05/1997",15,30.7,"Clouded","29","05","1997",1997-05-29 15:00:00
"13","29/05/1997",15,35.5,"Clouded","29","05","1997",1997-05-29 15:00:00
"14","29/05/1997",16,33.8,"Clouded","29","05","1997",1997-05-29 16:00:00
"15","29/05/1997",16,34.9,"Clouded","29","05","1997",1997-05-29 16:00:00
"16","29/05/1997",18,27.6,"Clouded","29","05","1997",1997-05-29 18:00:00
"17","29/05/1997",19,27.7,"Clouded","29","05","1997",1997-05-29 19:00:00
"18","17/07/1997",10,31.6,"Clouded","17","07","1997",1997-07-17 10:00:00
"19","17/07/1997",11,33.1,"Clouded","17","07","1997",1997-07-17 11:00:00
"20","17/07/1997",12,32.5,"Clouded","17","07","1997",1997-07-17 12:00:00
"21","17/07/1997",12,29.8,"Clouded","17","07","1997",1997-07-17 12:00:00
"22","17/07/1997",12,33.2,"Clouded","17","07","1997",1997-07-17 12:00:00
"23","17/07/1997",14,32.6,"Clouded","17","07","1997",1997-07-17 14:00:00
"24","17/07/1997",15,35.7,"Clouded","17","07","1997",1997-07-17 15:00:00
"25","17/07/1997",15,34.9,"Clouded","17","07","1997",1997-07-17 15:00:00
"26","17/07/1997",16,34,"Clouded","17","07","1997",1997-07-17 16:00:00
"27","17/07/1997",17,31.1,"Clouded","17","07","1997",1997-07-17 17:00:00
"28","17/07/1997",17,35.4,"Clouded","17","07","1997",1997-07-17 17:00:00
"29","23/07/1997",16,34.2,"Clouded","23","07","1997",1997-07-23 16:00:00
"30","23/07/1997",17,35.4,"Clouded","23","07","1997",1997-07-23 17:00:00
"31","24/07/1997",18,34.6,"Clouded","24","07","1997",1997-07-24 18:00:00
"32","24/07/1997",19,32,"Clouded","24","07","1997",1997-07-24 19:00:00
"33","24/07/1997",19,34.5,"Clouded","24","07","1997",1997-07-24 19:00:00
"34","29/07/1997",20,30,"Clouded","29","07","1997",1997-07-29 20:00:00
"35","23/05/2022",10,33.6,"Clouded","23","05","2022",2022-05-23 10:00:00
"36","01/06/2022",16,36.8,"Clouded","01","06","2022",2022-06-01 16:00:00
"37","01/06/2022",17,36.6,"Clouded","01","06","2022",2022-06-01 17:00:00
"38","01/06/2022",18,34.2,"Clouded","01","06","2022",2022-06-01 18:00:00
"39","01/06/2022",19,34.6,"Clouded","01","06","2022",2022-06-01 19:00:00
"40","01/06/2022",19,31.8,"Clouded","01","06","2022",2022-06-01 19:00:00
"41","09/05/1997",9,31.7,"Shade","09","05","1997",1997-05-09 09:00:00
"42","09/05/1997",10,33.5,"Shade","09","05","1997",1997-05-09 10:00:00
"43","09/05/1997",10,29.9,"Shade","09","05","1997",1997-05-09 10:00:00
"44","09/05/1997",11,29.5,"Shade","09","05","1997",1997-05-09 11:00:00
"45","09/05/1997",11,31.7,"Shade","09","05","1997",1997-05-09 11:00:00
"46","09/05/1997",11,34.6,"Shade","09","05","1997",1997-05-09 11:00:00
"47","09/05/1997",12,34,"Shade","09","05","1997",1997-05-09 12:00:00
"48","14/05/1997",17,32.4,"Shade","14","05","1997",1997-05-14 17:00:00
"49","14/05/1997",16,32.3,"Shade","14","05","1997",1997-05-14 16:00:00
"50","14/05/1997",16,32.7,"Shade","14","05","1997",1997-05-14 16:00:00
"51","14/05/1997",17,28.3,"Shade","14","05","1997",1997-05-14 17:00:00
"52","14/05/1997",17,34.5,"Shade","14","05","1997",1997-05-14 17:00:00
"53","21/05/1997",9,28.1,"Shade","21","05","1997",1997-05-21 09:00:00
"54","21/05/1997",10,34.2,"Shade","21","05","1997",1997-05-21 10:00:00
"55","21/05/1997",11,32.8,"Shade","21","05","1997",1997-05-21 11:00:00
"56","21/05/1997",11,36.3,"Shade","21","05","1997",1997-05-21 11:00:00
"57","21/05/1997",14,33.9,"Shade","21","05","1997",1997-05-21 14:00:00
"58","21/05/1997",15,32.1,"Shade","21","05","1997",1997-05-21 15:00:00
"59","21/05/1997",16,34.4,"Shade","21","05","1997",1997-05-21 16:00:00
"60","21/05/1997",18,35.4,"Shade","21","05","1997",1997-05-21 18:00:00
"61","29/05/1997",9,28.3,"Shade","29","05","1997",1997-05-29 09:00:00
"62","29/05/1997",9,30.2,"Shade","29","05","1997",1997-05-29 09:00:00
"63","29/05/1997",9,27.6,"Shade","29","05","1997",1997-05-29 09:00:00
"64","29/05/1997",9,27.5,"Shade","29","05","1997",1997-05-29 09:00:00
"65","17/07/1997",9,30.6,"Shade","17","07","1997",1997-07-17 09:00:00
"66","17/07/1997",9,32.3,"Shade","17","07","1997",1997-07-17 09:00:00
"67","17/07/1997",9,33,"Shade","17","07","1997",1997-07-17 09:00:00
"68","17/07/1997",9,34.2,"Shade","17","07","1997",1997-07-17 09:00:00
"69","17/07/1997",14,36,"Shade","17","07","1997",1997-07-17 14:00:00
"70","17/07/1997",17,34.8,"Shade","17","07","1997",1997-07-17 17:00:00
"71","24/07/1997",19,31.9,"Shade","24","07","1997",1997-07-24 19:00:00
"72","24/07/1997",20,30.5,"Shade","24","07","1997",1997-07-24 20:00:00
"73","24/07/1997",20,30.3,"Shade","24","07","1997",1997-07-24 20:00:00
"74","25/07/1997",8,30.5,"Shade","25","07","1997",1997-07-25 08:00:00
"75","25/07/1997",8,31.3,"Shade","25","07","1997",1997-07-25 08:00:00
"76","25/07/1997",9,34.6,"Shade","25","07","1997",1997-07-25 09:00:00
"77","25/07/1997",9,31.7,"Shade","25","07","1997",1997-07-25 09:00:00
"78","25/07/1997",11,31.9,"Shade","25","07","1997",1997-07-25 11:00:00
"79","29/07/1997",8,24.6,"Shade","29","07","1997",1997-07-29 08:00:00
"80","29/07/1997",8,30.8,"Shade","29","07","1997",1997-07-29 08:00:00
"81","29/07/1997",8,26.1,"Shade","29","07","1997",1997-07-29 08:00:00
"82","29/07/1997",8,31.9,"Shade","29","07","1997",1997-07-29 08:00:00
"83","27/07/2017",15,38.7,"Shade","27","07","2017",2017-07-27 15:00:00
"84","27/07/2017",15,38.8,"Shade","27","07","2017",2017-07-27 15:00:00
"85","27/07/2017",16,38.6,"Shade","27","07","2017",2017-07-27 16:00:00
"86","27/07/2017",16,39,"Shade","27","07","2017",2017-07-27 16:00:00
"87","27/07/2017",17,39,"Shade","27","07","2017",2017-07-27 17:00:00
"88","27/07/2017",17,39.4,"Shade","27","07","2017",2017-07-27 17:00:00
"89","27/07/2017",18,37.8,"Shade","27","07","2017",2017-07-27 18:00:00
"90","27/07/2017",19,38.6,"Shade","27","07","2017",2017-07-27 19:00:00
"91","29/07/2017",10,36,"Shade","29","07","2017",2017-07-29 10:00:00
"92","31/07/2017",17,37.4,"Shade","31","07","2017",2017-07-31 17:00:00
"93","31/07/2017",18,36.2,"Shade","31","07","2017",2017-07-31 18:00:00
"94","31/07/2017",18,37.6,"Shade","31","07","2017",2017-07-31 18:00:00
"95","31/07/2017",18,37.1,"Shade","31","07","2017",2017-07-31 18:00:00
"96","31/07/2017",18,35.2,"Shade","31","07","2017",2017-07-31 18:00:00
"97","02/08/2017",10,26,"Shade","02","08","2017",2017-08-02 10:00:00
"98","02/08/2017",11,32.2,"Shade","02","08","2017",2017-08-02 11:00:00
"99","02/08/2017",11,33,"Shade","02","08","2017",2017-08-02 11:00:00
"100","02/08/2017",12,35,"Shade","02","08","2017",2017-08-02 12:00:00
"101","02/08/2017",12,37.5,"Shade","02","08","2017",2017-08-02 12:00:00
"102","02/08/2017",12,36.2,"Shade","02","08","2017",2017-08-02 12:00:00
"103","02/08/2017",13,38.4,"Shade","02","08","2017",2017-08-02 13:00:00
"104","02/08/2017",13,38.2,"Shade","02","08","2017",2017-08-02 13:00:00
"105","02/08/2017",13,35.7,"Shade","02","08","2017",2017-08-02 13:00:00
"106","02/08/2017",13,37.5,"Shade","02","08","2017",2017-08-02 13:00:00
"107","02/08/2017",14,37.9,"Shade","02","08","2017",2017-08-02 14:00:00
"108","02/08/2017",14,38,"Shade","02","08","2017",2017-08-02 14:00:00
"109","02/08/2017",14,38,"Shade","02","08","2017",2017-08-02 14:00:00
"110","03/08/2017",17,39.4,"Shade","03","08","2017",2017-08-03 17:00:00
"111","03/08/2017",17,40,"Shade","03","08","2017",2017-08-03 17:00:00
"112","03/08/2017",17,38.4,"Shade","03","08","2017",2017-08-03 17:00:00
"113","03/08/2017",17,37.9,"Shade","03","08","2017",2017-08-03 17:00:00
"114","03/08/2017",17,39.6,"Shade","03","08","2017",2017-08-03 17:00:00
"115","03/08/2017",18,38.8,"Shade","03","08","2017",2017-08-03 18:00:00
"116","03/08/2017",18,37,"Shade","03","08","2017",2017-08-03 18:00:00
"117","03/08/2017",19,37.5,"Shade","03","08","2017",2017-08-03 19:00:00
"118","03/08/2017",19,37.4,"Shade","03","08","2017",2017-08-03 19:00:00
"119","03/08/2017",19,34.5,"Shade","03","08","2017",2017-08-03 19:00:00
"120","17/05/2022",16,36.8,"Shade","17","05","2022",2022-05-17 16:00:00
"121","17/05/2022",17,35.2,"Shade","17","05","2022",2022-05-17 17:00:00
"122","17/05/2022",18,36.2,"Shade","17","05","2022",2022-05-17 18:00:00
"123","19/05/2022",11,34.6,"Shade","19","05","2022",2022-05-19 11:00:00
"124","19/05/2022",11,33.8,"Shade","19","05","2022",2022-05-19 11:00:00
"125","19/05/2022",12,32.4,"Shade","19","05","2022",2022-05-19 12:00:00
"126","19/05/2022",13,37,"Shade","19","05","2022",2022-05-19 13:00:00
"127","19/05/2022",13,34.6,"Shade","19","05","2022",2022-05-19 13:00:00
"128","19/05/2022",13,35.8,"Shade","19","05","2022",2022-05-19 13:00:00
"129","19/05/2022",13,34.8,"Shade","19","05","2022",2022-05-19 13:00:00
"130","19/05/2022",14,36.2,"Shade","19","05","2022",2022-05-19 14:00:00
"131","19/05/2022",14,36,"Shade","19","05","2022",2022-05-19 14:00:00
"132","19/05/2022",14,37,"Shade","19","05","2022",2022-05-19 14:00:00
"133","19/05/2022",14,35.4,"Shade","19","05","2022",2022-05-19 14:00:00
"134","19/05/2022",14,35,"Shade","19","05","2022",2022-05-19 14:00:00
"135","23/05/2022",12,33.6,"Shade","23","05","2022",2022-05-23 12:00:00
"136","23/05/2022",13,33.4,"Shade","23","05","2022",2022-05-23 13:00:00
"137","23/05/2022",13,35.6,"Shade","23","05","2022",2022-05-23 13:00:00
"138","26/05/2022",18,35.2,"Shade","26","05","2022",2022-05-26 18:00:00
"139","26/05/2022",19,36.2,"Shade","26","05","2022",2022-05-26 19:00:00
"140","27/05/2022",16,38.2,"Shade","27","05","2022",2022-05-27 16:00:00
"141","27/05/2022",16,37.8,"Shade","27","05","2022",2022-05-27 16:00:00
"142","27/05/2022",16,35.2,"Shade","27","05","2022",2022-05-27 16:00:00
"143","27/05/2022",17,36.2,"Shade","27","05","2022",2022-05-27 17:00:00
"144","27/05/2022",17,36.4,"Shade","27","05","2022",2022-05-27 17:00:00
"145","27/05/2022",17,36.8,"Shade","27","05","2022",2022-05-27 17:00:00
"146","27/05/2022",17,36.2,"Shade","27","05","2022",2022-05-27 17:00:00
"147","27/05/2022",18,35.8,"Shade","27","05","2022",2022-05-27 18:00:00
"148","27/05/2022",19,36.6,"Shade","27","05","2022",2022-05-27 19:00:00
"149","28/05/2022",9,34.4,"Shade","28","05","2022",2022-05-28 09:00:00
"150","28/05/2022",11,34.6,"Shade","28","05","2022",2022-05-28 11:00:00
"151","28/05/2022",12,36.2,"Shade","28","05","2022",2022-05-28 12:00:00
"152","31/05/2022",11,34.2,"Shade","31","05","2022",2022-05-31 11:00:00
"153","31/05/2022",11,35,"Shade","31","05","2022",2022-05-31 11:00:00
"154","31/05/2022",11,35.4,"Shade","31","05","2022",2022-05-31 11:00:00
"155","31/05/2022",12,35.2,"Shade","31","05","2022",2022-05-31 12:00:00
"156","31/05/2022",13,34.6,"Shade","31","05","2022",2022-05-31 13:00:00
"157","31/05/2022",13,34.2,"Shade","31","05","2022",2022-05-31 13:00:00
"158","01/06/2022",15,37.8,"Shade","01","06","2022",2022-06-01 15:00:00
"159","01/06/2022",15,32.8,"Shade","01","06","2022",2022-06-01 15:00:00
"160","01/06/2022",15,35.6,"Shade","01","06","2022",2022-06-01 15:00:00
"161","01/06/2022",15,34.4,"Shade","01","06","2022",2022-06-01 15:00:00
"162","01/06/2022",17,37.2,"Shade","01","06","2022",2022-06-01 17:00:00
"163","01/06/2022",18,35.4,"Shade","01","06","2022",2022-06-01 18:00:00
"164","09/05/1997",12,33.5,"Sun","09","05","1997",1997-05-09 12:00:00
"165","14/05/1997",13,37.5,"Sun","14","05","1997",1997-05-14 13:00:00
"166","14/05/1997",14,36.7,"Sun","14","05","1997",1997-05-14 14:00:00
"167","17/07/1997",13,36.5,"Sun","17","07","1997",1997-07-17 13:00:00
"168","17/07/1997",15,36.2,"Sun","17","07","1997",1997-07-17 15:00:00
"169","17/07/1997",17,35.8,"Sun","17","07","1997",1997-07-17 17:00:00
"170","23/07/1997",16,38.1,"Sun","23","07","1997",1997-07-23 16:00:00
"171","23/07/1997",16,37.5,"Sun","23","07","1997",1997-07-23 16:00:00
"172","23/07/1997",16,37.4,"Sun","23","07","1997",1997-07-23 16:00:00
"173","24/07/1997",17,35.5,"Sun","24","07","1997",1997-07-24 17:00:00
"174","24/07/1997",18,35.9,"Sun","24","07","1997",1997-07-24 18:00:00
"175","24/07/1997",18,34.7,"Sun","24","07","1997",1997-07-24 18:00:00
"176","24/07/1997",18,33.1,"Sun","24","07","1997",1997-07-24 18:00:00
"177","24/07/1997",19,30,"Sun","24","07","1997",1997-07-24 19:00:00
"178","24/07/1997",19,34.3,"Sun","24","07","1997",1997-07-24 19:00:00
"179","25/07/1997",10,35.2,"Sun","25","07","1997",1997-07-25 10:00:00
"180","25/07/1997",12,36.8,"Sun","25","07","1997",1997-07-25 12:00:00
"181","25/07/1997",12,36.5,"Sun","25","07","1997",1997-07-25 12:00:00
"182","25/07/1997",13,35.9,"Sun","25","07","1997",1997-07-25 13:00:00
"183","25/07/1997",13,35.2,"Sun","25","07","1997",1997-07-25 13:00:00
"184","25/07/1997",14,35,"Sun","25","07","1997",1997-07-25 14:00:00
"185","25/07/1997",14,36.7,"Sun","25","07","1997",1997-07-25 14:00:00
"186","25/07/1997",15,36.9,"Sun","25","07","1997",1997-07-25 15:00:00
"187","01/08/2017",8,29.6,"Sun","01","08","2017",2017-08-01 08:00:00
"188","01/08/2017",8,26,"Sun","01","08","2017",2017-08-01 08:00:00
"189","02/08/2017",9,31,"Sun","02","08","2017",2017-08-02 09:00:00
"190","02/08/2017",9,31.9,"Sun","02","08","2017",2017-08-02 09:00:00
"191","02/08/2017",9,37.6,"Sun","02","08","2017",2017-08-02 09:00:00
"192","17/05/2022",19,31.6,"Sun","17","05","2022",2022-05-17 19:00:00
"193","19/05/2022",8,32,"Sun","19","05","2022",2022-05-19 08:00:00
"194","19/05/2022",9,31.8,"Sun","19","05","2022",2022-05-19 09:00:00
"195","19/05/2022",9,36,"Sun","19","05","2022",2022-05-19 09:00:00
"196","19/05/2022",9,33.2,"Sun","19","05","2022",2022-05-19 09:00:00
"197","19/05/2022",10,34.2,"Sun","19","05","2022",2022-05-19 10:00:00
"198","23/05/2022",8,31.4,"Sun","23","05","2022",2022-05-23 08:00:00
"199","23/05/2022",9,32.2,"Sun","23","05","2022",2022-05-23 09:00:00
"200","23/05/2022",9,35,"Sun","23","05","2022",2022-05-23 09:00:00
"201","23/05/2022",10,35,"Sun","23","05","2022",2022-05-23 10:00:00
"202","23/05/2022",10,34.8,"Sun","23","05","2022",2022-05-23 10:00:00
"203","23/05/2022",11,33.8,"Sun","23","05","2022",2022-05-23 11:00:00
"204","23/05/2022",12,34,"Sun","23","05","2022",2022-05-23 12:00:00
"205","23/05/2022",12,33.6,"Sun","23","05","2022",2022-05-23 12:00:00
"206","23/05/2022",12,34,"Sun","23","05","2022",2022-05-23 12:00:00
"207","26/05/2022",17,36.4,"Sun","26","05","2022",2022-05-26 17:00:00
"208","27/05/2022",19,37.2,"Sun","27","05","2022",2022-05-27 19:00:00
"209","28/05/2022",8,32.8,"Sun","28","05","2022",2022-05-28 08:00:00
"210","28/05/2022",8,26.8,"Sun","28","05","2022",2022-05-28 08:00:00
"211","28/05/2022",8,31.4,"Sun","28","05","2022",2022-05-28 08:00:00
"212","28/05/2022",8,33,"Sun","28","05","2022",2022-05-28 08:00:00
"213","28/05/2022",9,28,"Sun","28","05","2022",2022-05-28 09:00:00
"214","28/05/2022",9,32,"Sun","28","05","2022",2022-05-28 09:00:00
"215","28/05/2022",9,31.8,"Sun","28","05","2022",2022-05-28 09:00:00
"216","28/05/2022",10,31,"Sun","28","05","2022",2022-05-28 10:00:00
"217","28/05/2022",10,34.8,"Sun","28","05","2022",2022-05-28 10:00:00
"218","28/05/2022",13,35.8,"Sun","28","05","2022",2022-05-28 13:00:00
"219","28/05/2022",13,34.8,"Sun","28","05","2022",2022-05-28 13:00:00
"220","31/05/2022",9,32.4,"Sun","31","05","2022",2022-05-31 09:00:00
"221","31/05/2022",9,34,"Sun","31","05","2022",2022-05-31 09:00:00
"222","31/05/2022",10,35,"Sun","31","05","2022",2022-05-31 10:00:00
"223","31/05/2022",10,35.6,"Sun","31","05","2022",2022-05-31 10:00:00
"224","31/05/2022",10,34.8,"Sun","31","05","2022",2022-05-31 10:00:00
"225","31/05/2022",11,35.8,"Sun","31","05","2022",2022-05-31 11:00:00
"226","31/05/2022",12,37.2,"Sun","31","05","2022",2022-05-31 12:00:00
"227","09/05/1997",10,28.3,"Sun-shade","09","05","1997",1997-05-09 10:00:00
"228","09/05/1997",12,34.5,"Sun-shade","09","05","1997",1997-05-09 12:00:00
"229","14/05/1997",13,33.3,"Sun-shade","14","05","1997",1997-05-14 13:00:00
"230","14/05/1997",14,36.2,"Sun-shade","14","05","1997",1997-05-14 14:00:00
"231","14/05/1997",17,31.4,"Sun-shade","14","05","1997",1997-05-14 17:00:00
"232","21/05/1997",10,32.9,"Sun-shade","21","05","1997",1997-05-21 10:00:00
"233","21/05/1997",11,34.4,"Sun-shade","21","05","1997",1997-05-21 11:00:00
"234","21/05/1997",13,34.6,"Sun-shade","21","05","1997",1997-05-21 13:00:00
"235","21/05/1997",14,34.3,"Sun-shade","21","05","1997",1997-05-21 14:00:00
"236","21/05/1997",15,35.6,"Sun-shade","21","05","1997",1997-05-21 15:00:00
"237","21/05/1997",17,33,"Sun-shade","21","05","1997",1997-05-21 17:00:00
"238","17/07/1997",11,36.3,"Sun-shade","17","07","1997",1997-07-17 11:00:00
"239","17/07/1997",11,33.7,"Sun-shade","17","07","1997",1997-07-17 11:00:00
"240","17/07/1997",11,36.7,"Sun-shade","17","07","1997",1997-07-17 11:00:00
"241","17/07/1997",13,36.8,"Sun-shade","17","07","1997",1997-07-17 13:00:00
"242","17/07/1997",15,36.5,"Sun-shade","17","07","1997",1997-07-17 15:00:00
"243","23/07/1997",16,36.5,"Sun-shade","23","07","1997",1997-07-23 16:00:00
"244","24/07/1997",18,36.3,"Sun-shade","24","07","1997",1997-07-24 18:00:00
"245","24/07/1997",18,35.8,"Sun-shade","24","07","1997",1997-07-24 18:00:00
"246","24/07/1997",19,34.7,"Sun-shade","24","07","1997",1997-07-24 19:00:00
"247","25/07/1997",10,33.6,"Sun-shade","25","07","1997",1997-07-25 10:00:00
"248","25/07/1997",11,35.7,"Sun-shade","25","07","1997",1997-07-25 11:00:00
"249","25/07/1997",12,37.5,"Sun-shade","25","07","1997",1997-07-25 12:00:00
"250","25/07/1997",13,34.7,"Sun-shade","25","07","1997",1997-07-25 13:00:00
"251","25/07/1997",14,36.7,"Sun-shade","25","07","1997",1997-07-25 14:00:00
"252","27/07/2017",18,38,"Sun-shade","27","07","2017",2017-07-27 18:00:00
"253","29/07/2017",9,29.6,"Sun-shade","29","07","2017",2017-07-29 09:00:00
"254","29/07/2017",9,31.9,"Sun-shade","29","07","2017",2017-07-29 09:00:00
"255","29/07/2017",9,35.6,"Sun-shade","29","07","2017",2017-07-29 09:00:00
"256","29/07/2017",11,33.2,"Sun-shade","29","07","2017",2017-07-29 11:00:00
"257","31/07/2017",17,38.8,"Sun-shade","31","07","2017",2017-07-31 17:00:00
"258","31/07/2017",18,36.2,"Sun-shade","31","07","2017",2017-07-31 18:00:00
"259","02/08/2017",9,33.8,"Sun-shade","02","08","2017",2017-08-02 09:00:00
"260","02/08/2017",10,33.5,"Sun-shade","02","08","2017",2017-08-02 10:00:00
"261","02/08/2017",10,36.2,"Sun-shade","02","08","2017",2017-08-02 10:00:00
"262","02/08/2017",10,36.9,"Sun-shade","02","08","2017",2017-08-02 10:00:00
"263","02/08/2017",10,36,"Sun-shade","02","08","2017",2017-08-02 10:00:00
"264","02/08/2017",11,36.6,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"265","02/08/2017",11,35.5,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"266","02/08/2017",11,34,"Sun-shade","02","08","2017",2017-08-02 11:00:00
"267","02/08/2017",12,39,"Sun-shade","02","08","2017",2017-08-02 12:00:00
"268","02/08/2017",14,39.2,"Sun-shade","02","08","2017",2017-08-02 14:00:00
"269","03/08/2017",18,37.9,"Sun-shade","03","08","2017",2017-08-03 18:00:00
"270","03/08/2017",18,38.2,"Sun-shade","03","08","2017",2017-08-03 18:00:00
"271","03/08/2017",19,36,"Sun-shade","03","08","2017",2017-08-03 19:00:00
"272","03/08/2017",19,35.8,"Sun-shade","03","08","2017",2017-08-03 19:00:00
"273","17/05/2022",15,35.2,"Sun-shade","17","05","2022",2022-05-17 15:00:00
"274","17/05/2022",15,35.8,"Sun-shade","17","05","2022",2022-05-17 15:00:00
"275","17/05/2022",16,35,"Sun-shade","17","05","2022",2022-05-17 16:00:00
"276","17/05/2022",17,36,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"277","17/05/2022",17,33.8,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"278","17/05/2022",17,34,"Sun-shade","17","05","2022",2022-05-17 17:00:00
"279","17/05/2022",19,33.8,"Sun-shade","17","05","2022",2022-05-17 19:00:00
"280","17/05/2022",19,33.8,"Sun-shade","17","05","2022",2022-05-17 19:00:00
"281","19/05/2022",9,31.6,"Sun-shade","19","05","2022",2022-05-19 09:00:00
"282","19/05/2022",11,34.2,"Sun-shade","19","05","2022",2022-05-19 11:00:00
"283","19/05/2022",12,33.2,"Sun-shade","19","05","2022",2022-05-19 12:00:00
"284","23/05/2022",9,32,"Sun-shade","23","05","2022",2022-05-23 09:00:00
"285","23/05/2022",10,33.2,"Sun-shade","23","05","2022",2022-05-23 10:00:00
"286","23/05/2022",11,33,"Sun-shade","23","05","2022",2022-05-23 11:00:00
"287","23/05/2022",11,35.4,"Sun-shade","23","05","2022",2022-05-23 11:00:00
"288","23/05/2022",13,33,"Sun-shade","23","05","2022",2022-05-23 13:00:00
"289","23/05/2022",13,34.8,"Sun-shade","23","05","2022",2022-05-23 13:00:00
"290","26/05/2022",18,33.8,"Sun-shade","26","05","2022",2022-05-26 18:00:00
"291","27/05/2022",15,37,"Sun-shade","27","05","2022",2022-05-27 15:00:00
"292","27/05/2022",16,36.6,"Sun-shade","27","05","2022",2022-05-27 16:00:00
"293","27/05/2022",16,37.2,"Sun-shade","27","05","2022",2022-05-27 16:00:00
"294","27/05/2022",17,36.4,"Sun-shade","27","05","2022",2022-05-27 17:00:00
"295","28/05/2022",8,21.8,"Sun-shade","28","05","2022",2022-05-28 08:00:00
"296","28/05/2022",10,33,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"297","28/05/2022",10,34.2,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"298","28/05/2022",10,34.6,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"299","28/05/2022",10,33.2,"Sun-shade","28","05","2022",2022-05-28 10:00:00
"300","28/05/2022",11,34,"Sun-shade","28","05","2022",2022-05-28 11:00:00
"301","28/05/2022",11,33.2,"Sun-shade","28","05","2022",2022-05-28 11:00:00
"302","28/05/2022",12,34,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"303","28/05/2022",12,37.8,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"304","28/05/2022",12,34.8,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"305","28/05/2022",12,36.6,"Sun-shade","28","05","2022",2022-05-28 12:00:00
"306","28/05/2022",13,35.6,"Sun-shade","28","05","2022",2022-05-28 13:00:00
"307","31/05/2022",14,36.2,"Sun-shade","31","05","2022",2022-05-31 14:00:00
"308","31/05/2022",11,34.6,"Sun-shade","31","05","2022",2022-05-31 11:00:00
"309","31/05/2022",12,36.6,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"310","31/05/2022",12,36,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"311","31/05/2022",12,34.8,"Sun-shade","31","05","2022",2022-05-31 12:00:00
"312","01/06/2022",16,34.2,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"313","01/06/2022",16,36.4,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"314","01/06/2022",16,38,"Sun-shade","01","06","2022",2022-06-01 16:00:00
"315","01/06/2022",18,36,"Sun-shade","01","06","2022",2022-06-01 18:00:00
"316","01/06/2022",18,35.8,"Sun-shade","01","06","2022",2022-06-01 18:00:00
"317","29/07/2017",10,32.2,NA,"29","07","2017",2017-07-29 10:00:00
"318","31/07/2017",19,35.4,NA,"31","07","2017",2017-07-31 19:00:00
